,Date,CUSIP,Ticker,MktValue,Shares,Russell1000,Russell2000,Name,R1000_WT,R2000_WT
117286,19990528,339099103,FLE,700675.94,27545,Y,N,FLEETWOOD ENTERPRISE,6.4e-05,
96924,19981030,229899109,CFR,1419112.5,26650,N,Y,CULLEN/FROST BANKERS,,0.001842
48294,19970530,535555106,LINZ,,9605,N,Y,LINDSAY MANUFACTURIN,,0.048
343326,20051031,577729205,MXO,886245.5,253213,N,Y,MAXTOR CORP,,0.00076
95017,19980930,60886R103,MCCO,209676.0,8304,N,Y,MONACO COACH CORP,,0.00028
37452,19970131,808655104,SFA,,70811,Y,N,SCIENTIFIC-ATLANTA I,0.0207,
304204,20040930,532192101,LIFE,270451.5,11075,N,Y,LIFELINE SYSTEMS INC,,0.000269
88052,19980731,226603108,CMM,654539.25,47174,N,Y,CRIIMI MAE INC,,0.000762
192637,20010731,595915109,MAB,222540.5,8710,N,Y,MID AMER BANCORP,,0.000276
302738,20040930,025932104,AFG,1109726.03,37127,Y,N,AMERICAN FINANCIAL GROUP,0.0001,
59740,19970930,383911104,GRA,5346647.5,72620,Y,N,GRACE (W R) & CO,0.0679,
46586,19970430,917047102,URBN,,9278,N,Y,URBAN OUTFITTERS INC,,0.0178
56573,19970829,300615101,EXBT,243201.5,20698,N,Y,EXABYTE CORP,,0.0287
334501,20050729,635906100,NHC,214106.4,6288,N,Y,NATIONAL HEALTHCARE CORP,,0.000175
169743,20001130,58449U100,MAI,272333.31,18701,N,Y,MEDICAL ASSURN INC,,0.000336
265200,20030829,292970100,ENSI,144872.26,4391,N,Y,ENERGYSOUTH INC,,0.000184
263128,20030731,631158102,NAFC,186539.5,11150,N,Y,NASH FINCH CO,,0.000247
216277,20020328,697933109,SPOT,661004.8,28928,Y,N,PANAMSAT CORP NEW,6.2e-05,
222731,20020531,922206107,VARI,1024523.7,31331,N,Y,VARIAN INC,,0.001262
292486,20040528,603158106,MTX,999005.0,17374,N,Y,MINERALS TECHNOLOGIES,,0.001108
292252,20040528,511637100,LBAI,202293.0,12844,N,Y,LAKELAND BANCORP INC,,0.000224
30642,19961129,457652105,IO,,43050,Y,N,INPUT/OUTPUT INC,0.0165,
68270,19971231,31410H101,FD,9035029.25,209812,Y,N,FEDERATED DEPT STORE,0.001122,
334408,20050729,591676101,MTLG,203938.56,11802,N,Y,METROLOGIC INSTRS INC,,0.000167
176408,20010131,893934109,TMG,102603.8,27001,N,Y,TRANSMONTAIGNE INC,,0.000112
61102,19970930,872375100,TE,3205776.0,130848,Y,N,TECO ENERGY INC,0.0407,
321161,20050331,156782104,CERN,1493174.36,28436,N,Y,CERNER CORP,,0.001376
335904,20050831,049513104,ATML,866007.52,420392,N,Y,ATMEL CORP,,0.000722
142402,20000229,00758B109,DINE,56271.87,32740,N,Y,ADVANTICA RESTAURANT,,5.3e-05
115800,19990430,832914105,SNC,1367993.75,46570,Y,N,SNYDER COMMUNICATION,0.000123,
95496,19980930,767711104,RCHI,278168.0,12644,N,Y,RISK CAP HLDGS INC,,0.000372
161002,20000831,584699102,MEDI,17651359.87,209823,Y,N,MEDIMMUNE INC,0.00127,
160484,20000831,38348T107,GOTO,487975.0,26200,N,Y,GOTO COM INC,,0.000489
76816,19980331,316773100,FITB,10596613.5,123937,Y,N,FIFTH THIRD BANCORP,0.001164,
377486,20061031,03662Q105,ANSS,1515838.0,32953,N,Y,ANSYS INC,,0.001133
176862,20010228,030137103,AMK,33662.41,3209,N,Y,AMERICAN TECHNICNAL,,4e-05
3954,19960229,349841304,FOUR,,22500,N,Y,FORUM GROUP INC,,0.0524
110580,19990226,954235107,WMAR,88287.81,9355,N,Y,WEST MARINE INC,,0.000111
230030,20020830,37934A100,GISX,157154.54,8014,N,Y,GLOBAL IMAGING SYSTE,,0.000257
143391,20000229,369300108,BGC,337788.0,30708,N,Y,GENERAL CABLE CORP D,,0.000316
350205,20051230,879369106,TFX,2379047.76,36612,Y,N,TELEFLEX INC,0.000188,
122777,19990730,20452F107,CBSI,446557.0,23503,N,Y,COMPLETE BUSINESS SL,,0.000509
306606,20041029,303250104,FIC,2130640.2,70551,Y,N,FAIR ISAAC CORP,0.00019,
324383,20050429,231561101,CW,1137549.6,20988,N,Y,CURTISS WRIGHT CORP,,0.001116
100546,19981130,482171105,JSTN,223548.63,17363,N,Y,JUSTIN INDUSTRIES,,0.000276
186434,20010531,46145F105,ITG,1424100.0,28200,N,Y,INVESTMENT TECHNOLOG,,0.001602
258751,20030630,12613R104,CNET,629373.29,101023,N,Y,CNET NETWORKS INC,,0.000883
178280,20010228,58155Q103,MCK,8283757.88,284861,Y,N,MCKESSON HBOC INC,0.000741,
299468,20040730,92276F100,VTR,2140898.32,83891,Y,N,VENTAS INC,0.000196,
19474,19960731,717265102,PD,,66379,Y,N,PHELPS DODGE CORP,0.0738,
267708,20030930,126128107,CCNE,154001.25,3645,N,Y,CNB FINANCIAL CORP,,0.000199
24672,19960930,444482103,HUG,,6597,N,Y,HUGHES SUPPLY INC,,0.0372
39515,19970228,482734100,KU,,37818,Y,N,KU ENERGY CORP,0.0174,
14169,19960531,902120104,TYC,,152507,Y,N,TYCO INTL INC,0.1099,
93616,19980930,093671105,HRB,3947506.0,95408,Y,N,BLOCK H & R INC,0.000461,
208718,20020131,029712106,ASD,3858578.6,59638,Y,N,AMERICAN STD COS INC,0.000368,
234767,20020930,957090103,WABC,1348735.52,33484,Y,N,WESTAMERICA BANCORPO,0.000173,
213251,20020228,64352D101,NCEN,169103.65,10669,N,Y,NEW CENTURY FINANCIA,,0.000218
240893,20021231,023177108,EPAX,72003.72,5564,N,Y,AMBASSADORS GROUP INC,,0.00012
33412,19961231,404382103,HUBC,,19857,N,Y,HUBCO INC,,0.0702
51778,19970630,731745105,PGH,,28416,N,Y,POLYMER GROUP INC,,0.0578
57593,19970829,690020102,OM,361468.25,20222,N,Y,OUTBOARD MARINE CORP,,0.0426
374801,20060929,133131102,CPT,4283087.49,56349,Y,N,CAMDEN PROPERTY TRUST,0.000319,
189268,20010629,45810H107,ISYS,228125.02,9454,N,Y,INTEGRAL SYS INC MD,,0.000267
242862,20021231,732827100,POP,222755.46,15621,N,Y,POPE & TALBOT INC,,0.000371
88717,19980731,458665106,IFSIA,761830.5,46524,N,Y,INTERFACE INC  -CL A,,0.000887
250228,20030331,200525103,CBSH,2249725.6,61552,Y,N,COMMERCE BANCSHARES,0.000278,
367537,20060630,73179P106,POL,812308.04,92518,N,Y,POLYONE CORP,,0.000635
168309,20001130,035290105,AXE,409843.12,22005,N,Y,ANIXTER INTL INC,,0.000505
286572,20040331,571748102,MMC,24789575.6,535412,Y,N,MARSH & MCLENNAN COS,0.002267,
185758,20010531,217020106,CRTK,121942.5,3435,N,Y,COORSTEK INC,,0.000137
13929,19960531,849176102,TSA,,14683,N,Y,SPORTS AUTHORITY INC,,0.0695
51329,19970630,577914104,MAVK,,4356,N,Y,MAVERICK TUBE CORP,,0.0206
160511,20000831,40425P107,HNCS,1464289.81,26914,N,Y,HNC SOFTWARE INC,,0.001467
74559,19980227,549271104,LZ,2204039.69,57155,Y,N,LUBRIZOL CORP,0.000255,
267141,20030829,92923C104,WCI,259902.92,16844,N,Y,WCI COMMUNITIES INC,,0.00033
331406,20050630,590479101,MESA,201803.25,30075,N,Y,MESA AIR GROUP INC,,0.000174
369030,20060731,197236102,COLB,499523.85,15995,N,Y,COLUMBIA BKG SYSTEM INC,,0.000407
266711,20030829,826170102,SEBL,4164804.0,413175,Y,N,SIEBEL SYSTEMS INC,0.000428,
16610,19960628,74955J108,RFSI,,24294,N,Y,RFS HOTEL INVESTORS,,0.0575
266356,20030829,711030106,PGL,1447487.8,36052,Y,N,PEOPLES ENERGY CORP,0.000149,
157578,20000731,421946104,HR,797444.62,40123,N,Y,HEALTHCARE RLTY TR,,0.000857
378811,20061031,50187A107,LHCG,289334.24,11752,N,Y,LHC GROUP INC,,0.000216
112916,19990331,809340102,SCT,182118.75,10596,N,Y,SCOTSMAN INDUSTRIES,,0.000228
1553,19960131,541409108,LGN,,12041,N,Y,LOGICON INC,,0.0597
328879,20050531,74837R104,KWK,1541048.4,29522,N,Y,QUICKSILVER RESOURCES,,0.001422
218188,20020430,33582U100,FNFG,212346.08,9759,N,Y,FIRST NIAGARA FINL G,,0.00025
195555,20010831,584404107,MEG.A,611508.8,12304,N,Y,MEDIA GEN INC,,0.000785
265817,20030829,50540R409,LH,4477756.25,148025,Y,N,LABORATORY CORP OF AMER,0.00046,
370606,20060731,750753105,RRA,390284.92,38873,N,Y,RAILAMERICA INC,,0.000318
225819,20020628,952355105,WSTC,415742.76,18846,Y,N,WEST CORP,4.4e-05,
200193,20011030,105368203,BDN,493619.58,25159,N,Y,BRANDYWINE RLTY TR,,0.000707
156790,20000731,125071100,CDI,219439.87,11041,N,Y,C D I CORP,,0.000236
7757,19960329,696429307,PLL,,115040,Y,N,PALL CORP,0.0557,
54638,19970731,691497309,OXM,200354.5,6569,N,Y,OXFORD INDUSTRIES IN,,0.0242
147103,20000331,74053F107,PNB,245312.37,16219,N,Y,PREMIER NATL BANCORP,,0.000246
204320,20011130,554273102,MRD,294081.12,21264,N,Y,MACDERMID INC,,0.000386
341250,20050930,880770102,TER,3230667.0,195798,Y,N,TERADYNE INC,0.000259,
372777,20060831,462846106,IRM,4698027.86,114614,Y,N,IRON MOUNTAIN INC,0.000358,
100927,19981130,64120L104,NTAP,2286128.88,30431,N,Y,NETWORK APPLIANCE IN,,0.002822
89289,19980731,690368105,OSG,508131.81,27191,N,Y,OVERSEAS SHIPHOLDING,,0.000592
142315,20000131,976592105,WCLX,675780.25,51244,N,Y,WISCONSIN CENT TRANS,,0.000728
133829,19991029,983922105,XIRC,1083952.31,21491,N,Y,XIRCOM INC,,0.001315
97810,19981030,56418H100,MAN,1948214.38,80755,Y,N,MANPOWER INC/WI,0.000211,
359500,20060428,00104Q107,AFCE,275795.6,19870,N,Y,AFC ENTERPRISES INC,,0.000202
277666,20031231,521865105,LEA,3841465.88,62636,Y,N,LEAR CORP,0.000357,
148134,20000428,053331104,AWEB,27964.12,7102,N,Y,AUTOWEB COM INC,,3e-05
226196,20020731,055652101,BSBN,169087.95,8649,N,Y,BSB BANCORP,,0.000275
365870,20060630,127387108,CDNS,4844977.9,282506,Y,N,CADENCE DESIGN SYSTEMS,0.000376,
194030,20010831,02744M108,AMMD,629661.9,31562,N,Y,AMERICAN MED SYS HLD,,0.000809
276369,20031231,040790107,ABFS,681539.68,21712,N,Y,ARKANSAS BEST CORP,,0.000772
109706,19990226,693499105,PPL,4001318.75,157300,Y,N,PP&L RESOURCES,0.000388,
361394,20060428,655044105,NBL,7834436.48,174176,Y,N,NOBLE ENERGY INC,0.000594,
285972,20040331,337907109,FED,783056.75,16975,N,Y,FIRSTFED FINANCIAL CORP,,0.000832
265999,20030829,584699102,MEDI,8789924.99,252077,Y,N,MEDIMMUNE INC,0.000904,
323539,20050331,949746101,WFC,100915609.6,1687552,Y,N,WELLS FARGO & CO,0.008618,
341507,20050930,94767L109,WEBX,810423.15,33065,N,Y,WEBEX INC,,0.000672
332139,20050630,84917U109,TSA,822761.4,25873,N,Y,SPORTS AUTHORITY INC,,0.000711
184997,20010430,926734104,VIGN,1403040.3,209409,Y,N,VIGNETTE CORP,0.000124,
338074,20050831,835898107,BID,709755.46,40814,N,Y,SOTHEBYS HOLDINGS INC,,0.000592
217591,20020430,109704106,BRIO,42073.12,19578,N,Y,BRIO SOFTWARE INC,,5e-05
44491,19970430,190495101,DR,,15940,N,Y,COASTAL PHYSICIAN GR,,0.0034
92546,19980831,767711104,RCHI,275007.0,12644,N,Y,RISK CAP HLDGS INC,,0.000395
260634,20030630,783764103,RYL,1735069.4,25001,Y,N,RYLAND GROUP INC,0.000185,
232135,20020930,05164B106,AOR,15359.5,23630,N,Y,AURORA FOODS INC,,2.7e-05
210123,20020131,55305B101,MHO,330970.0,5756,N,Y,M/I SCHOTTENSTEIN HO,,0.000415
32905,19961231,205912108,CSRE,,9704,N,Y,COMSHARE INC,,0.0245
305068,20040930,829909100,SIPX,103829.25,19777,N,Y,SIPEX CORP,,0.000103
57028,19970829,459902102,IGT,2129340.0,106467,Y,N,INTL GAME TECHNOLOGY,0.0284,
55747,19970829,02145K107,ALI,224643.62,9929,N,Y,ALTERNATIVE LIVING S,,0.0265
334998,20050729,800907107,SANM,2512162.46,525557,Y,N,SANMINA-SCI CORP,0.000201,
341694,20051031,012423109,AMRI,318250.0,23750,N,Y,ALBANY MOLECULAR RESRCH,,0.000273
113885,19990430,119882108,BOCB,438980.0,43898,N,Y,BUFFETS INC,,0.000506
206266,20011231,193294105,KCP,130307.4,7362,N,Y,COLE KENNETH PRODTNS,,0.000162
53678,19970731,320859101,FMBC,994051.12,30469,N,Y,FIRST MICHIGAN BANK,,0.1199
25081,19960930,591647102,MCLL,,8030,N,Y,METROCALL INC,,0.0078
51568,19970630,670006105,NOVL,,346579,Y,N,NOVELL INC,0.0328,
357130,20060331,172967101,C,245698772.48,5202176,Y,N,CITIGROUP INC,0.01877,
22610,19960830,758934103,RHS,,16705,N,Y,REGENCY HEALTH SVCS,,0.029
79464,19980430,247361108,DAL,8683061.25,74693,Y,N,DELTA AIR LINES INC,0.000945,
295653,20040630,686079104,OS,391243.82,26543,N,Y,OREGON STEEL MILLS INC,,0.000378
331878,20050630,749685103,RPM,2145732.6,117510,Y,N,RPM INTERNATIONAL INC,0.000178,
178339,20010228,595112103,MU,17177276.52,501966,Y,N,MICRON TECHNOLOGY IN,0.001536,
166246,20001031,345370860,F,47688157.0,1825384,Y,N,FORD MTR CO DEL,0.003645,
43244,19970331,80004C101,SNDK,,17473,N,Y,SANDISK CORP,,0.0265
316247,20050131,55347W105,MROI,250473.93,19553,N,Y,MRO SOFTWARE INC,,0.00023
293624,20040528,98235T107,WMGI,511050.24,15744,N,Y,WRIGHT MEDICAL GROUP INC,,0.000567
81828,19980529,075887109,BDX,8247752.0,116576,Y,N,BECTON DICKINSON & C,0.000917,
103078,19981231,36236E109,GTIS,135195.0,27039,N,Y,GT INTERACTIVE SOFTW,,0.000158
170574,20001130,866810104,SUNW,122398025.56,1609177,Y,N,SUN MICROSYSTEMS INC,0.010348,
200130,20011030,071707103,BOL,1764469.65,53615,Y,N,BAUSCH & LOMB INC,0.00018,
375780,20060929,480838101,JOSB,539190.12,17997,N,Y,JOS A BANK CLOTHIERS INC,,0.000423
344575,20051031,98389B100,XEL,7373407.47,402259,Y,N,XCEL ENERGY INC,0.000603,
316115,20050131,500255104,KSS,14107042.86,300086,Y,N,KOHLS CORP,0.001206,
73841,19980227,254546104,DNEX,676799.75,11594,N,Y,DIONEX CORP,,0.0744
344496,20051031,942622200,WSO,1219344.48,21456,N,Y,WATSCO INC,,0.001045
321694,20050331,349882100,FOSL,1022248.68,39431,Y,N,FOSSIL INC,8.7e-05,
160894,20000831,542307103,STAR,216658.12,25678,N,Y,LONE STAR STEAKHOUSE,,0.000217
8332,19960329,879433100,TDS,,51428,Y,N,TELEPHONE & DATA,0.0449,
385361,20061229,74346P102,PQE,265283.7,25386,N,Y,PROQUEST COMPANY,,0.000195
346596,20051130,68383A101,OPSW,439750.6,74534,N,Y,OPSWARE INC,,0.00036
60294,19970930,595145103,MTSI,219348.37,7869,N,Y,MICROTOUCH SYSTEMS I,,0.0242
75466,19980227,871503108,SYMC,1415487.12,56198,N,Y,SYMANTEC CORP,,0.1555
233399,20020930,52324W109,LCRY,73982.72,8257,N,Y,LECROY CORP,,0.000131
212903,20020228,501044101,KR,17729280.85,800419,Y,N,KROGER CO,0.001727,
72585,19980130,862111200,STK,3178878.12,53539,Y,N,STORAGE TECHNOLOGY C,0.000392,
30336,19961129,346091606,FOIL,,22942,N,Y,FOREST OIL CORP,,0.0523
181003,20010330,538021106,LIT,2653942.54,33038,Y,N,LITTON INDS INC,0.000254,
131958,19991029,336901103,SRCE,305781.12,11069,N,Y,1ST SOURCE CORP,,0.000371
263432,20030731,73172K104,PLCM,1650310.7,98821,Y,N,POLYCOM INC,0.000173,
381526,20061130,439038100,HOFT,158883.12,10692,N,Y,HOOKER FURNITURE CORP,,0.000117
357393,20060331,26928A200,EVVV,271972.47,15357,N,Y,EV3 INC,,0.000199
17516,19960731,017411109,AYP,,120990,Y,N,ALLEGHENY POWER SYST,0.067,
127400,19990831,801003104,SANG,307993.12,14933,N,Y,SANGSTAT MED CORP,,0.000368
11583,19960531,001669100,AEN,,2661,N,Y,AMC ENTERTAINMENT IN,,0.0141
196074,20010831,749660106,RES,126448.8,10716,N,Y,RPC INC,,0.000162
29521,19961129,043339100,ARV,,22592,N,Y,ARVIN INDUSTRIES INC,,0.0789
185962,20010531,29076N107,EMA,75207.0,25069,N,Y,EMAGIN CORP,,8.5e-05
158175,20000731,637844309,NS,84545.62,20190,N,Y,NATIONAL STL CORP,,9.1e-05
210107,20020131,55027E102,LMNX,277371.1,16145,N,Y,LUMINEX CORP DEL,,0.000348
88722,19980731,45881K104,INMT,363940.0,18784,N,Y,INTERMET CORP,,0.000424
174287,20010131,125750109,CMGI,1337755.12,218409,Y,N,CMGI INC,0.000109,
91977,19980831,58449U100,MAI,517006.88,21486,N,Y,MEDICAL ASSURANCE IN,,0.000743
75104,19980227,744375106,PMD,80578.12,14325,N,Y,PSYCHEMEDICS CORP,,0.0089
21000,19960830,17275R102,CSCO,,647274,Y,N,CISCO SYSTEMS INC,0.6301,
370170,20060731,60877T100,MNTA,374761.25,21625,N,Y,MOMENTA PHARMACEUTICALS,,0.000305
324284,20050429,200340107,CMA,9919722.4,173240,Y,N,COMERICA INC,0.000864,
226453,20020731,16122M100,CHFN,110345.95,3965,N,Y,CHARTER FINL CORP WEST,,0.00018
109692,19990226,69073F103,OWC,1725764.5,54248,Y,N,OWENS CORNING,0.000167,
329857,20050630,037833100,AAPL,30329010.54,823934,Y,N,APPLE COMPUTER INC,0.002511,
258986,20030630,210226106,CTO,141073.92,5616,N,Y,CONSOLIDATED TOMOKA LAND,,0.000198
148339,20000428,127055101,CBT,1811241.0,67083,Y,N,CABOT CORP,0.000143,
197001,20010928,029899101,AWR,372960.0,10080,N,Y,AMERICAN STS WTR CO,,0.000556
79455,19980430,239753106,DH,19153830.4,219371,Y,N,DAYTON HUDSON CORP,0.002085,
347380,20051130,914906102,UVN,6668858.92,220604,Y,N,UNIVISION COMMUNICATIONS,0.000527,
363614,20060531,382410405,GDP,250708.5,10233,N,Y,GOODRICH PETROLEUM CORP,,0.000196
100179,19981130,362553109,GADZ,65541.63,8887,N,Y,GADZOOKS INC,,8.1e-05
261090,20030630,911684108,USM,390173.95,15331,Y,N,UNITED STATES CELLULAR,4.2e-05,
256935,20030530,533900106,LECO,671427.54,31761,N,Y,LINCOLN ELEC HLDGS I,,0.000974
221245,20020531,435569108,HLR,446394.25,37991,Y,N,HOLLINGER INTL INC,4.5e-05,
210976,20020131,84760T100,SITE,121175.97,68461,N,Y,SPECTRASITE HLDGS IN,,0.000152
177277,20010228,191216100,KO,106254620.1,2003670,Y,N,COCA COLA CO,0.0095,
360285,20060428,250557105,DWRI,71013.25,11935,N,Y,DESIGN WITHIN REACH INC,,5.2e-05
369972,20060731,533900106,LECO,2434748.16,42432,Y,N,LINCOLN ELECTRIC HLDGS,0.000189,
10283,19960430,566140109,MCAM,,9696,N,Y,MARCAM CORPORATION,,0.0185
371928,20060831,16444H102,CHKE,285649.56,7758,N,Y,CHEROKEE INC,,0.000226
232886,20020930,320734106,FLIC,115942.75,3487,N,Y,FIRST LONG IS CORP,,0.000205
102066,19981231,007869100,ANV,699040.63,23350,Y,N,AEROQUIP-VICKERS,6.8e-05,
178676,20010228,718154107,MO,107129868.12,2223534,Y,N,PHILIP MORRIS COS IN,0.009578,
291788,20040528,337756209,FSCI,248612.76,4924,N,Y,FISHER COMMUNICATIONS,,0.000276
191335,20010731,125129106,CDWC,1863351.08,43364,Y,N,CDW COMPUTER CTRS IN,0.000166,
312763,20041231,38141G104,GS,34040535.48,327187,Y,N,GOLDMAN SACHS GROUP INC,0.002834,
48101,19970530,457659704,INSL,,9321,N,Y,INSILCO CORP,,0.0487
5818,19960329,000886101,ADCT,,63152,Y,N,ADC TELECOMMUNICATIO,0.0412,
263384,20030731,713448108,PEP,79153235.56,1718108,Y,N,PEPSICO INC,0.008296,
223356,20020628,126600105,CVBF,598317.66,26346,N,Y,CVB FINL CORP,,0.000826
71819,19980130,589405109,MERQ,485111.25,16585,N,Y,MERCURY INTERACTIVE,,0.0568
288495,20040430,202218103,NNN,733543.44,44216,N,Y,COMMERCIAL NET LEASE,,0.000823
352815,20060131,75524B104,ROLL,168528.6,9090,N,Y,RBC BEARINGS INC,,0.000128
166402,20001031,413875105,HRS,2191000.5,69144,Y,N,HARRIS CORP DEL,0.000167,
76335,19980331,129603106,CCC,408758.62,34974,N,Y,CALGON CARBON CORP,,0.043
322557,20050331,669947400,NFI,969677.28,26928,N,Y,NOVASTAR FINANCIAL INC,,0.000894
199831,20011030,002444107,AVX,929720.0,52825,Y,N,AVX CORP NEW,9.5e-05,
127343,19990831,778162107,RSLN,1307793.0,76929,Y,N,ROSLYN BANCORP INC,0.000118,
205791,20011231,023608102,AEE,5821452.9,137623,Y,N,AMEREN CORP,0.000547,
181891,20010330,858155203,SCS,918922.4,75944,Y,N,STEELCASE INC,8.8e-05,
371649,20060831,056525108,BMI,363448.96,13888,N,Y,BADGER METER INC,,0.000288
216558,20020328,783549108,R,1567510.56,53064,N,Y,RYDER SYS INC,,0.001872
43694,19970331,913456109,UVV,,35061,N,Y,UNIVERSAL CORP/VA,,0.1554
128290,19990930,05379B107,AVA,650181.31,37021,N,Y,AVISTA CORP,,0.00078
33824,19961231,556100105,MACR,,33051,Y,N,MACROMEDIA INC,0.0097,
235263,20021031,12189T104,BNI,9855130.33,383021,Y,N,BURLINGTON NORTHN SA,0.00117,
320500,20050228,94768C108,WEBM,290031.39,46257,N,Y,WEBMETHODS INC,,0.000262
381664,20061130,462726100,IRBT,212433.15,11415,N,Y,IROBOT CORP,,0.000156
331409,20050630,591324207,MUSA,385782.66,20283,N,Y,METALS USA INC,,0.000333
72965,19980130,956188106,WTSC,275698.31,17859,N,Y,WEST TELESERVICES CO,,0.0323
15296,19960628,266849108,DURI,,24484,N,Y,DURIRON CO INC,,0.0898
79872,19980430,413345109,HPH,1350350.0,47800,Y,N,HARNISCHFEGER INDUST,0.000147,
330457,20050630,25212E100,DEX,3671654.56,150416,Y,N,DEX MEDIA INC,0.000304,
375429,20060929,367626108,GTW,535325.49,283241,N,Y,GATEWAY INC,,0.00042
184516,20010430,790849103,STJ,4902890.0,85640,Y,N,ST JUDE MED INC,0.000434,
202938,20011130,037833100,AAPL,7472295.6,350812,Y,N,APPLE COMPUTER INC,0.000709,
85849,19980630,505336107,LZB,1005982.5,17805,N,Y,LA-Z-BOY CHAIR CO,,0.000969
325123,20050429,487584104,KEI,174694.53,12577,N,Y,KEITHLEY INSTRS INC,,0.000171
50979,19970630,443782107,HFI,,21669,N,Y,HUDSON FOODS INC  -C,,0.0446
157920,20000731,536314107,LIQB,143769.56,3063,N,Y,LIQUI BOX CORP,,0.000154
363789,20060531,452327109,ILMN,980764.38,35886,N,Y,ILLUMINA INC,,0.000766
53544,19970731,278265103,EV,491463.75,15790,N,Y,EATON VANCE CORP,,0.0593
97575,19981030,459044103,IBOC,596852.75,10964,N,Y,INTERNATIONAL BANCSH,,0.000775
196372,20010831,855707105,STFC,189714.48,12424,N,Y,STATE AUTO FINL CORP,,0.000244
223101,20020628,037604105,APOL,4676394.6,118630,Y,N,APOLLO GROUP INC -C,0.000497,
332266,20050630,878717305,TICC,197180.4,13323,N,Y,TECHNOLOGY INV CAPITAL,,0.00017
324657,20050429,31659U300,FICC,623686.8,48840,N,Y,FIELDSTONE INVESTMENT CO,,0.000612
41439,19970331,126504109,CTEX,,12031,N,Y,C TEC CORP,,0.0522
164926,20000929,896263100,TRMS,1101585.56,15751,N,Y,TRIMERIS INC,,0.00115
139178,19991231,879369106,TFX,1188966.94,37971,Y,N,TELEFLEX INC,9.5e-05,
239835,20021129,708352109,PRFS,202928.88,6952,N,Y,PENNROCK FINL SVCS CORP,,0.000319
183003,20010430,22541L103,DIR,93483.92,20456,N,Y,CREDIT SUISSE FIRST,,0.000108
173024,20001229,729251108,PCL,1308632.0,50332,Y,N,PLUM CREEK TIMBER CO,0.000109,
142337,20000131,988858106,ZLC,1260223.25,35251,Y,N,ZALE CORP NEW,0.000105,
363501,20060531,337907109,FED,956210.88,16532,N,Y,FIRSTFED FINANCIAL CORP,,0.000746
353814,20060228,04621X108,AIZ,4968122.0,109430,Y,N,ASSURANT INC,0.000384,
15274,19960628,256669102,DG,,88676,Y,N,DOLLAR GENERAL,0.0466,
368247,20060630,929236107,WDFC,563841.72,16796,N,Y,WD-40 CO,,0.000441
57398,19970829,619600109,MOSI,406117.25,13651,N,Y,MOSINEE PAPER CORP,,0.0479
230814,20020830,678026105,OIS,183294.63,17019,N,Y,OIL STS INTL INC,,0.0003
67889,19971231,171779101,CIEN,6068979.0,99288,Y,N,CIENA CORP,0.000754,
318103,20050228,14075T107,CPD,78990.99,9069,N,Y,CARACO PHARMACEUTICAL,,7.1e-05
45903,19970430,723484101,PNW,,79726,Y,N,PINNACLE WEST CAPITA,0.0346,
278053,20031231,680277100,OSBC,331501.5,6697,N,Y,OLD SECOND BANCORP INC,,0.000375
319679,20050228,704549104,BTU,6209253.7,63947,Y,N,PEABODY ENERGY CORP,0.00052,
168670,20001130,168615102,CHCS,330695.62,13567,N,Y,CHICOS FAS INC,,0.000408
279591,20040130,151408101,CNBC,135084.68,7521,N,Y,CENTER BANCORP INC,,0.000147
48102,19970530,457667103,INSUA,,20920,N,Y,INSITUFORM TECNOL IN,,0.0174
227393,20020731,500255104,KSS,19232466.0,291401,Y,N,KOHLS CORP,0.002209,
181401,20010330,69318J100,PCCC,46129.5,4824,N,Y,P C CONNECTION,,5.7e-05
52268,19970630,88037E101,TEN,,171300,Y,N,TENNECO INC,0.1056,
330983,20050630,45031X204,ISTA,113534.72,13646,N,Y,ISTA PHARMACEUTICALS INC,,9.8e-05
373030,20060831,573083102,MSO,478430.04,25287,N,Y,MARTHA STEWART LIVING,,0.000379
27974,19961031,574599106,MAS,,160439,Y,N,MASCO CORP,0.0857,
86152,19980630,635312101,NCBM,188028.75,5655,N,Y,NATIONAL CITY BANCOR,,0.000181
35155,19961231,987816105,YSII,,6829,N,Y,YOUTH SERVICES INTL,,0.015
326370,20050429,90130N103,TW,291726.12,22134,N,Y,21ST CENTY INS GROUP,,0.000286
184321,20010430,737464107,PPS,1428841.04,38764,Y,N,POST PPTYS INC,0.000127,
324875,20050429,416515104,HIG,21133704.51,292023,Y,N,HARTFORD FINL SVCS GRP,0.001842,
251172,20030331,553531104,MNS,197214.25,25447,N,Y,MSC SOFTWARE CORP,,0.000345
349586,20051230,68383A101,OPSW,506085.86,74534,N,Y,OPSWARE INC,,0.000419
119248,19990630,025537101,AEP,7215117.69,192083,Y,N,AMERICAN ELECTRIC PO,0.000623,
263346,20030731,703224105,POG,897316.48,29831,N,Y,PATINA OIL & GAS CORP,,0.001186
243400,20021231,889542106,TLGD,149064.84,12708,N,Y,TOLLGRADE COMMUNICAT,,0.000248
271379,20031031,37957V106,GSPN,650095.6,105535,N,Y,GLOBESPANVIRATA INC,,0.000778
79050,19980430,090572207,BIO.A,253886.25,8570,N,Y,BIO-RAD LABS  -CL A,,0.000265
334577,20050729,667280101,NWAC,405238.2,87148,N,Y,NORTHWEST AIRLINES CORP,,0.000331
292262,20040528,516012101,LCI,119548.35,7053,N,Y,LANNETT CO INC,,0.000133
